Game,Black_Energy,White_Energy,Predicted_Winner,Actual_Winner
36ze-gokifu-20200601-Hsu_Chiayuan-Kang_Dongyun.sgf,52.18579234972678,47.81420765027322,B,W
373w-gokifu-20200602-Lian_Xiao-Lee_Yeongkyu.sgf,49.458483754512635,50.54151624548736,W,B
373x-gokifu-20200603-Zhao_Chenyu-Choi_Jeong.sgf,46.2962962962963,53.70370370370371,W,B
373y-gokifu-20200603-Park_Seunghwa-Ding_Hao.sgf,48.674698795180724,51.325301204819276,W,W
373z-gokifu-20200603-Fan_Yunruo-Shin_Jinseo.sgf,53.46534653465347,46.53465346534654,B,W
3740-gokifu-20200602-Tang_Weixing-Kim_Jiseok.sgf,47.44525547445255,52.55474452554745,W,B
3741-gokifu-20200602-Hong_Kipyo-Li_Xuanhao.sgf,50.37220843672456,49.62779156327544,B,B
375b-gokifu-20200325-Lu_Jia-Gao_Xing.sgf,48.952879581151834,51.047120418848166,W,
375f-gokifu-20200417-Tan_Xiao-Gu_Zihao.sgf,48.0,52.0,W,
37ev-gokifu-20200603-Park_Seunghwa-Ding_Hao.sgf,48.674698795180724,51.325301204819276,W,
37fj-gokifu-20200408-Shin_Jinseo-Kim_Jiseok.sgf,42.29249011857708,57.70750988142292,W,
37pp-gokifu-20200610-Gu_Zihao-Mi_Yuting.sgf,51.94029850746269,48.059701492537314,B,W
37pq-gokifu-20200615-Li_Xuanhao-Mi_Yuting.sgf,45.751633986928105,54.248366013071895,W,W
37pr-gokifu-20200614-Li_Xuanhao-Chen_Yaoye.sgf,49.152542372881356,50.847457627118644,W,B
37ps-gokifu-20200614-Ma_Yichao-Tuo_Jiaxi.sgf,51.49425287356322,48.50574712643678,B,W
37pt-gokifu-20200614-Shi_Yue-Tuo_Jiaxi.sgf,51.533742331288344,48.466257668711656,B,W
37pu-gokifu-20200614-Kou_Zhengyan-Dang_Yifei.sgf,52.98804780876494,47.01195219123506,B,W
37pv-gokifu-20200610-Lian_Xiao-Fan_Tingyu.sgf,52.6984126984127,47.3015873015873,B,B
37pw-gokifu-20200614-Jiao_Shiwei-Tang_Weixing.sgf,48.44444444444444,51.55555555555556,W,W
37px-gokifu-20200614-Mi_Yuting-Tang_Weixing.sgf,55.846774193548384,44.153225806451616,B,B
37py-gokifu-20200608-Shin_Jinseo-Ke_Jie.sgf,49.310344827586206,50.689655172413794,W,W
37u7-gokifu-20200729-Kang_Dongyun-Motoki_Katsuya.sgf,47.64890282131661,52.35109717868338,W,B
37u8-gokifu-20200729-Mi_Yuting-Byun_Sangil.sgf,52.41935483870967,47.58064516129033,B,W
37u9-gokifu-20200728-Zhan_Ying-Chen_Yiming.sgf,52.556237218813905,47.443762781186095,B,B
37ua-gokifu-20200729-Iyama_Yuuta-Shin_Minjun.sgf,52.043596730245234,47.956403269754766,B,W
37ub-gokifu-20200728-Li_He-Tang_Yi.sgf,50.82872928176796,49.171270718232044,B,W
37uc-gokifu-20200729-Kim_Jiseok-Xu_Jiayang.sgf,50.0,50.0,W,W
37ud-gokifu-20200729-Shibano_Toramaru-Lian_Xiao.sgf,53.0,47.0,B,W
37ue-gokifu-20200728-Li_Xiaoxi-Cai_Bihan.sgf,46.41509433962264,53.58490566037736,W,W
37uf-gokifu-20200728-Wang_Chenxing-Zhang_Zihan.sgf,50.92592592592593,49.074074074074076,B,B
37ui-gokifu-20200729-Cao_Youyin-Cai_Bihan.sgf,48.507462686567166,51.49253731343284,W,B
37uj-gokifu-20200729-Tao_Ran-Li_He.sgf,50.0,50.0,W,W
37uk-gokifu-20200729-Oh_Yujin-Yu_Zhiying.sgf,49.45652173913043,50.54347826086957,W,W
37ul-gokifu-20200729-Rui_Naiwei-Li_Xiaoxi.sgf,44.94949494949495,55.05050505050505,W,B
37um-gokifu-20200729-Wang_Chenxing-Li_Xiaoxi.sgf,48.401826484018265,51.598173515981735,W,B
37un-gokifu-20200729-Gao_Xing-Zhang_Zihan.sgf,50.34246575342466,49.65753424657534,B,B
37ux-gokifu-20200731-Yang_Dingxin-Byun_Sangil.sgf,52.42424242424243,47.57575757575758,B,W
37uy-gokifu-20200731-Fan_Tingyu-Murakawa_Daisuke.sgf,46.070460704607044,53.929539295392956,W,B
37uz-gokifu-20200731-Xu_Jiayang-Shin_Jinseo.sgf,53.956834532374096,46.043165467625904,B,W
37v0-gokifu-20200731-Shin_Minjun-Tang_Weixing.sgf,47.159090909090914,52.84090909090909,W,W
37v1-gokifu-20200731-Kang_Dongyun-Ke_Jie.sgf,53.941908713692946,46.058091286307054,B,W
37v2-gokifu-20200731-Park_Yeonghun-Yu_Zhengqi.sgf,50.80831408775982,49.19168591224018,B,B
37v3-gokifu-20200731-Park_Jungwhan-Lian_Xiao.sgf,46.18320610687023,53.81679389312977,W,W
37v7-gokifu-20200730-Lu_Jia-Zhan_Ying.sgf,50.0,50.0,W,B
37v8-gokifu-20200730-Li_Xiaoxi-Tao_Ran.sgf,49.21875,50.78125,W,W
37v9-gokifu-20200731-Gao_Xing-Tang_Yi.sgf,44.5916114790287,55.40838852097131,W,W
37va-gokifu-20200730-Wang_Shuang-Gao_Xing.sgf,52.10918114143921,47.8908188585608,B,W
37vb-gokifu-20200731-Lu_Jia-Wang_Shuang.sgf,48.78048780487805,51.21951219512195,W,W
37vc-gokifu-20200731-Li_Xiaoxi-Li_He.sgf,48.12362030905077,51.87637969094923,W,W
37vd-gokifu-20200803-Lian_Xiao-Yang_Dingxin.sgf,53.776435045317214,46.22356495468278,B,B
37ve-gokifu-20200730-Li_He-Yu_Zhiying.sgf,50.41095890410959,49.589041095890416,B,W
37vm-gokifu-20200804-Zhao_Chenyu-Ke_Jie.sgf,50.331125827814574,49.668874172185426,B,W
37wy-gokifu-20200818-Park_Jungwhan-Iyama_Yuuta.sgf,48.059701492537314,51.94029850746269,W,B
37xn-gokifu-20200819-Park_Jungwhan-Mi_Yuting.sgf,51.92307692307693,48.07692307692308,B,B
37xp-gokifu-20200820-Fan_Tingyu-Park_Jungwhan.sgf,52.159468438538205,47.840531561461795,B,
37xq-gokifu-20200821-Park_Jungwhan-Fan_Tingyu.sgf,51.19047619047619,48.80952380952381,B,B
37y4-gokifu-20200824-Chen_Zijian-Peng_Liyao.sgf,51.02564102564102,48.97435897435897,B,B
37y5-gokifu-20200824-Meng_Tailing-Park_Jungwhan.sgf,47.20812182741117,52.79187817258884,W,W
37y6-gokifu-20200824-Wang_Zejin-Rong_Yi.sgf,46.557377049180324,53.442622950819676,W,W
37y7-gokifu-20200824-Li_Weiqing-Shin_Jinseo.sgf,47.11864406779661,52.88135593220339,W,W
37y8-gokifu-20200824-Jiang_Weijie-Ding_Hao.sgf,49.333333333333336,50.66666666666667,W,B
37y9-gokifu-20200824-Shi_Yue-Tang_Weixing.sgf,50.0,50.0,W,B
37ya-gokifu-20200824-Chen_Hao-Tan_Xiao.sgf,47.93187347931874,52.06812652068127,W,B
37yb-gokifu-20200824-Shin_Minjun-Xie_Erhao.sgf,50.26881720430107,49.73118279569893,B,W
37yc-gokifu-20200824-Fan_Tingyu-Xia_Chenkun.sgf,52.23463687150838,47.76536312849162,B,W
37yd-gokifu-20200824-Gu_Zihao-Kim_Jiseok.sgf,50.179211469534046,49.82078853046595,B,W
37ye-gokifu-20200824-Hu_Yaoyu-Xie_Ke.sgf,48.309178743961354,51.690821256038646,W,B
37yf-gokifu-20200824-Mi_Yuting-Yang_Dingxin.sgf,53.230769230769226,46.76923076923077,B,W
37zh-gokifu-20200824-Li_Xiangyu-Zhao_Chenyu.sgf,52.960526315789465,47.03947368421053,B,W
37zi-gokifu-20200824-Wu_Guangya-Zhou_Ruiyang.sgf,53.35820895522389,46.64179104477612,B,W
37zy-gokifu-20200825-Lee_Donghoon-Chen_Yaoye.sgf,48.9051094890511,51.09489051094891,W,B
37zz-gokifu-20200825-Xie_Ke-Fan_Tingyu.sgf,50.10526315789474,49.89473684210527,B,W
3800-gokifu-20200825-Park_Jungwhan-Gu_Zihao.sgf,49.42857142857143,50.57142857142857,W,B
3801-gokifu-20200825-Shin_Jinseo-Jiang_Weijie.sgf,48.90829694323144,51.09170305676856,W,B
3802-gokifu-20200825-Li_Weiqing-Ke_Jie.sgf,50.331125827814574,49.668874172185426,B,W
3803-gokifu-20200824-Lee_Donghoon-Yi_Lingtao.sgf,50.28901734104046,49.71098265895954,B,B
3804-gokifu-20200825-Chen_Zijian-Na_Hyun.sgf,50.413223140495866,49.586776859504134,B,W
3805-gokifu-20200825-Kim_Jiseok-Liao_Xingwen.sgf,48.249027237354085,51.75097276264592,W,W
3806-gokifu-20200825-Rong_Yi-Li_Xiangyu.sgf,48.199445983379505,51.8005540166205,W,B
380d-gokifu-20200825-Yang_Kaiwen-Liao_Yuanhe.sgf,50.38560411311054,49.61439588688946,B,B
380e-gokifu-20200827-Shin_Jinseo-Mi_Yuting.sgf,50.31645569620253,49.68354430379747,B,B
380f-gokifu-20200827-Ding_Hao-Shin_Minjun.sgf,45.32967032967033,54.670329670329664,W,W
380g-gokifu-20200825-Yang_Dingxin-Shin_Minjun.sgf,48.64864864864865,51.35135135135135,W,B
380h-gokifu-20200827-Yang_Dingxin-Gu_Zihao.sgf,49.52153110047847,50.47846889952153,W,W
380i-gokifu-20200825-Kang_Dongyun-Wu_Guangya.sgf,53.31325301204819,46.68674698795181,B,W
380j-gokifu-20200827-Yang_Kaiwen-He_Yuhan.sgf,45.18950437317784,54.81049562682215,W,W
380k-gokifu-20200827-Liao_Yuanhe-Kim_Jiseok.sgf,51.58924205378973,48.41075794621027,B,W
380l-gokifu-20200825-Cai_Jing-Xia_Chenkun.sgf,50.65616797900262,49.343832020997375,B,W
380m-gokifu-20200827-Cao_Xiaoyang-Xie_Erhao.sgf,50.14836795252226,49.85163204747774,B,B
380n-gokifu-20200827-Yi_Lingtao-Ke_Jie.sgf,45.82338902147971,54.17661097852029,W,W
380p-gokifu-20200827-Zhao_Chenyu-Li_Qincheng.sgf,51.657458563535904,48.34254143646409,B,W
380q-gokifu-20200827-Tang_Weixing-Na_Hyun.sgf,50.57915057915058,49.42084942084942,B,B
380r-gokifu-20200827-Byun_Sangil-Li_Xuanhao.sgf,50.967741935483865,49.03225806451613,B,W
380z-gokifu-20200829-Zhang_Tao-Byun_Sangil.sgf,51.42231947483589,48.57768052516411,B,W
3810-gokifu-20200830-Fan_Tingyu-Mi_Yuting.sgf,50.67750677506775,49.32249322493225,B,B
3811-gokifu-20200829-Tan_Xiao-Peng_Liyao.sgf,48.35886214442014,51.64113785557986,W,W
3812-gokifu-20200829-Ke_Jie-Park_Jungwhan.sgf,47.97687861271676,52.02312138728323,W,B
3813-gokifu-20200829-Xie_Ke-Rong_Yi.sgf,48.333333333333336,51.66666666666667,W,W
3814-gokifu-20200830-Li_Weiqing-Shin_Minjun.sgf,52.74725274725275,47.25274725274725,B,B
3815-gokifu-20200830-Yang_Dingxin-Chen_Zijian.sgf,44.9438202247191,55.0561797752809,W,B
3816-gokifu-20200830-Peng_Liyao-Ding_Hao.sgf,46.58385093167702,53.41614906832298,W,W
3817-gokifu-20200829-Shi_Yue-Shin_Jinseo.sgf,49.48979591836735,50.51020408163265,W,W
3818-gokifu-20200829-Kim_Jiseok-Tang_Weixing.sgf,50.955414012738856,49.044585987261144,B,B
3819-gokifu-20200829-Li_Qincheng-Tao_Xinran.sgf,52.73775216138329,47.262247838616716,B,W
381a-gokifu-20200830-Cai_Jing-Ke_Jie.sgf,48.986486486486484,51.01351351351351,W,W
381b-gokifu-20200830-Xie_Erhao-Park_Jungwhan.sgf,53.84615384615385,46.15384615384615,B,W
381c-gokifu-20200830-Lee_Donghoon-Gu_Zihao.sgf,47.61904761904761,52.38095238095239,W,W
381d-gokifu-20200829-Shin_Minjun-Lian_Xiao.sgf,45.63106796116505,54.36893203883495,W,B
